epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.466,1.372,1.66426,1.47486,0.94546,0.7981,0.83849,0.58263,1.16533,1.48739,1.29608,0.000659004,0.000659004,0.000659004
2,477.529,1.19663,1.11991,1.29341,0.966,0.81473,0.84265,0.57674,1.15764,1.09635,1.31706,0.00127317,0.00127317,0.00127317
3,741.517,1.17575,1.0396,1.28673,0.96672,0.80285,0.84795,0.58004,1.10401,1.11411,1.31053,0.00183454,0.00183454,0.00183454
4,1017.42,1.14206,0.97903,1.28371,0.99035,0.8266,0.86748,0.61089,1.0869,0.85587,1.24574,0.0017624,0.0017624,0.0017624
5,1295.93,1.11065,0.87917,1.26522,0.98859,0.82303,0.87308,0.62319,1.06873,0.82359,1.25642,0.0016832,0.0016832,0.0016832
6,1583.08,1.06854,0.8571,1.23737,0.98361,0.80998,0.87762,0.60438,1.11878,0.7633,1.2702,0.001604,0.001604,0.001604
7,1862.05,1.02232,0.79149,1.20274,0.99154,0.8355,0.89613,0.65836,0.91759,0.68536,1.13988,0.0015248,0.0015248,0.0015248
8,2138.62,0.97729,0.78165,1.18307,0.98154,0.84561,0.89419,0.63892,1.01522,0.71044,1.24516,0.0014456,0.0014456,0.0014456
9,2525.83,0.95801,0.73483,1.1752,0.98977,0.82423,0.89626,0.68131,0.89225,0.67598,1.12749,0.0013664,0.0013664,0.0013664
10,2790.27,0.967,0.74358,1.16963,0.98336,0.84202,0.89097,0.63134,1.0612,0.71986,1.22217,0.0012872,0.0012872,0.0012872
11,3061.83,0.92629,0.7098,1.1539,0.98351,0.84086,0.90334,0.70594,0.84233,0.59959,1.10219,0.001208,0.001208,0.001208
12,3325.38,0.91883,0.70053,1.15171,0.98994,0.83373,0.89934,0.69043,0.85161,0.60794,1.10237,0.0011288,0.0011288,0.0011288
13,3587.42,0.91916,0.68521,1.15223,0.98337,0.84259,0.89902,0.69155,0.8583,0.63212,1.10304,0.0010496,0.0010496,0.0010496
14,3850.19,0.88229,0.65611,1.12151,0.986,0.83666,0.90483,0.69979,0.83081,0.59588,1.08023,0.0009704,0.0009704,0.0009704
15,4113,0.84137,0.63462,1.10588,0.9755,0.85036,0.90761,0.71953,0.79496,0.58996,1.06466,0.0008912,0.0008912,0.0008912
16,4373.17,0.71567,0.55063,1.0387,0.98951,0.84086,0.9092,0.70886,0.79757,0.59092,1.07243,0.000812,0.000812,0.000812
17,4636.17,0.71954,0.52989,1.03376,0.99159,0.84018,0.90676,0.71437,0.7857,0.58708,1.05638,0.0007328,0.0007328,0.0007328
18,4898.09,0.70438,0.50613,1.03315,0.99142,0.83373,0.90098,0.73091,0.74133,0.58129,1.04229,0.0006536,0.0006536,0.0006536
19,5160.93,0.68114,0.49805,1.01649,0.9929,0.84323,0.90497,0.73064,0.7262,0.55813,1.0365,0.0005744,0.0005744,0.0005744
20,5412.68,0.65241,0.47589,1.0047,0.97547,0.85001,0.9109,0.74006,0.72761,0.54728,1.03287,0.0004952,0.0004952,0.0004952
21,5667.42,0.62803,0.45917,0.98938,0.98177,0.84798,0.91211,0.74172,0.72587,0.53414,1.02888,0.000416,0.000416,0.000416
22,5933.5,0.6253,0.45051,0.98996,0.98891,0.84751,0.91742,0.75865,0.71053,0.53376,1.01903,0.0003368,0.0003368,0.0003368
23,6206.67,0.58406,0.41506,0.95825,0.98574,0.84561,0.91748,0.75117,0.69674,0.51702,1.01521,0.0002576,0.0002576,0.0002576
24,6484.28,0.56979,0.40751,0.94945,0.9839,0.84798,0.91733,0.75719,0.70628,0.50505,1.02145,0.0001784,0.0001784,0.0001784
25,6765.98,0.56177,0.40617,0.94694,0.96462,0.85748,0.91321,0.764,0.6887,0.51399,1.00999,9.92e-05,9.92e-05,9.92e-05
